Holiday,Date
Nowy Rok,2026-01-01
Trzech Króli,2026-01-06
Wielkanoc – 1 dzień świąt Wielkanocnych,2026-04-05
Lany Poniedziałek – 2 dzień świąt Wielkanocnych,2026-04-06
1 Maja – Święto Pracy,2026-05-01
Święto Konstytucji 3 Maja,2026-05-03
Zesłanie Ducha Świętego,2026-05-24
Boże Ciało,2026-06-04
Wniebowzięcie NMP,2026-08-15
Dzień Wszystkich Świętych,2026-11-01
Narodowe Święto Niepodległości,2026-11-11
Wigilia Bożego Narodzenia,2026-12-24
Boże Narodzenie – pierwszy dzień świąt,2026-12-25
Boże Narodzenie – drugi dzień świąt,2026-12-26
Nowy Rok,2027-01-01
Trzech Króli,2027-01-06
Wielkanoc – 1 dzień świąt Wielkanocnych,2027-03-28
Lany Poniedziałek – 2 dzień świąt Wielkanocnych,2027-03-29
1 Maja – Święto Pracy,2027-05-01
Święto Konstytucji 3 Maja,2027-05-03
Zesłanie Ducha Świętego,2027-05-16
Boże Ciało,2027-05-27
Wniebowzięcie NMP,2027-08-15
Dzień Wszystkich Świętych,2027-11-01
Narodowe Święto Niepodległości,2027-11-11
Wigilia Bożego Narodzenia,2027-12-24
Boże Narodzenie – pierwszy dzień świąt,2027-12-25
Boże Narodzenie – drugi dzień świąt,2027-12-26
Nowy Rok,2028-01-01
Trzech Króli,2028-01-06
Wielkanoc – 1 dzień świąt Wielkanocnych,2028-04-16
Lany Poniedziałek – 2 dzień świąt Wielkanocnych,2028-04-17
1 Maja – Święto Pracy,2028-05-01
Święto Konstytucji 3 Maja,2028-05-03
Zesłanie Ducha Świętego,2028-06-04
Boże Ciało,2028-06-15
Wniebowzięcie NMP,2028-08-15
Dzień Wszystkich Świętych,2028-11-01
Narodowe Święto Niepodległości,2028-11-11
Wigilia Bożego Narodzenia,2028-12-24
Boże Narodzenie – pierwszy dzień świąt,2028-12-25
Boże Narodzenie – drugi dzień świąt,2028-12-26
Nowy Rok,2029-01-01
Trzech Króli,2029-01-06
Wielkanoc – 1 dzień świąt Wielkanocnych,2029-04-01
Lany Poniedziałek – 2 dzień świąt Wielkanocnych,2029-04-02
1 Maja – Święto Pracy,2029-05-01
Święto Konstytucji 3 Maja,2029-05-03
Zesłanie Ducha Świętego,2029-05-20
Boże Ciało,2029-05-31
Wniebowzięcie NMP,2029-08-15
Dzień Wszystkich Świętych,2029-11-01
Narodowe Święto Niepodległości,2029-11-11
Wigilia Bożego Narodzenia,2029-12-24
Boże Narodzenie – pierwszy dzień świąt,2029-12-25
Boże Narodzenie – drugi dzień świąt,2029-12-26
Nowy Rok,2030-01-01
Trzech Króli,2030-01-06
Wielkanoc – 1 dzień świąt Wielkanocnych,2030-04-21
Lany Poniedziałek – 2 dzień świąt Wielkanocnych,2030-04-22
1 Maja – Święto Pracy,2030-05-01
Święto Konstytucji 3 Maja,2030-05-03
Zesłanie Ducha Świętego,2030-06-09
Boże Ciało,2030-06-20
Wniebowzięcie NMP,2030-08-15
Dzień Wszystkich Świętych,2030-11-01
Narodowe Święto Niepodległości,2030-11-11
Wigilia Bożego Narodzenia,2030-12-24
Boże Narodzenie – pierwszy dzień świąt,2030-12-25
Boże Narodzenie – drugi dzień świąt,2030-12-26
Nowy Rok,2031-01-01
Trzech Króli,2031-01-06
Wielkanoc – 1 dzień świąt Wielkanocnych,2031-04-13
Lany Poniedziałek – 2 dzień świąt Wielkanocnych,2031-04-14
1 Maja – Święto Pracy,2031-05-01
Święto Konstytucji 3 Maja,2031-05-03
Zesłanie Ducha Świętego,2031-06-01
Boże Ciało,2031-06-12
Wniebowzięcie NMP,2031-08-15
Dzień Wszystkich Świętych,2031-11-01
Narodowe Święto Niepodległości,2031-11-11
Wigilia Bożego Narodzenia,2031-12-24
Boże Narodzenie – pierwszy dzień świąt,2031-12-25
Boże Narodzenie – drugi dzień świąt,2031-12-26
Nowy Rok,2032-01-01
Trzech Króli,2032-01-06
Wielkanoc – 1 dzień świąt Wielkanocnych,2032-03-28
Lany Poniedziałek – 2 dzień świąt Wielkanocnych,2032-03-29
1 Maja – Święto Pracy,2032-05-01
Święto Konstytucji 3 Maja,2032-05-03
Zesłanie Ducha Świętego,2032-05-16
Boże Ciało,2032-05-27
Wniebowzięcie NMP,2032-08-15
Dzień Wszystkich Świętych,2032-11-01
Narodowe Święto Niepodległości,2032-11-11
Wigilia Bożego Narodzenia,2032-12-24
Boże Narodzenie – pierwszy dzień świąt,2032-12-25
Boże Narodzenie – drugi dzień świąt,2032-12-26
Nowy Rok,2033-01-01
Trzech Króli,2033-01-06
Wielkanoc – 1 dzień świąt Wielkanocnych,2033-04-17
Lany Poniedziałek – 2 dzień świąt Wielkanocnych,2033-04-18
1 Maja – Święto Pracy,2033-05-01
Święto Konstytucji 3 Maja,2033-05-03
Zesłanie Ducha Świętego,2033-06-05
Boże Ciało,2033-06-16
Wniebowzięcie NMP,2033-08-15
Dzień Wszystkich Świętych,2033-11-01
Narodowe Święto Niepodległości,2033-11-11
Wigilia Bożego Narodzenia,2033-12-24
Boże Narodzenie – pierwszy dzień świąt,2033-12-25
Boże Narodzenie – drugi dzień świąt,2033-12-26
Nowy Rok,2034-01-01
Trzech Króli,2034-01-06
Wielkanoc – 1 dzień świąt Wielkanocnych,2034-04-09
Lany Poniedziałek – 2 dzień świąt Wielkanocnych,2034-04-10
1 Maja – Święto Pracy,2034-05-01
Święto Konstytucji 3 Maja,2034-05-03
Zesłanie Ducha Świętego,2034-05-28
Boże Ciało,2034-06-08
Wniebowzięcie NMP,2034-08-15
Dzień Wszystkich Świętych,2034-11-01
Narodowe Święto Niepodległości,2034-11-11
Wigilia Bożego Narodzenia,2034-12-24
Boże Narodzenie – pierwszy dzień świąt,2034-12-25
Boże Narodzenie – drugi dzień świąt,2034-12-26
Nowy Rok,2035-01-01
Trzech Króli,2035-01-06
Wielkanoc – 1 dzień świąt Wielkanocnych,2035-03-25
Lany Poniedziałek – 2 dzień świąt Wielkanocnych,2035-03-26
1 Maja – Święto Pracy,2035-05-01
Święto Konstytucji 3 Maja,2035-05-03
Zesłanie Ducha Świętego,2035-05-13
Boże Ciało,2035-05-24
Wniebowzięcie NMP,2035-08-15
Dzień Wszystkich Świętych,2035-11-01
Narodowe Święto Niepodległości,2035-11-11
Wigilia Bożego Narodzenia,2035-12-24
Boże Narodzenie – pierwszy dzień świąt,2035-12-25
Boże Narodzenie – drugi dzień świąt,2035-12-26
Nowy Rok,2036-01-01
Trzech Króli,2036-01-06
Wielkanoc – 1 dzień świąt Wielkanocnych,2036-04-13
Lany Poniedziałek – 2 dzień świąt Wielkanocnych,2036-04-14
1 Maja – Święto Pracy,2036-05-01
Święto Konstytucji 3 Maja,2036-05-03
Zesłanie Ducha Świętego,2036-06-01
Boże Ciało,2036-06-12
Wniebowzięcie NMP,2036-08-15
Dzień Wszystkich Świętych,2036-11-01
Narodowe Święto Niepodległości,2036-11-11
Wigilia Bożego Narodzenia,2036-12-24
Boże Narodzenie – pierwszy dzień świąt,2036-12-25
Boże Narodzenie – drugi dzień świąt,2036-12-26
Nowy Rok,2037-01-01
Trzech Króli,2037-01-06
Wielkanoc – 1 dzień świąt Wielkanocnych,2037-04-05
Lany Poniedziałek – 2 dzień świąt Wielkanocnych,2037-04-06
1 Maja – Święto Pracy,2037-05-01
Święto Konstytucji 3 Maja,2037-05-03
Zesłanie Ducha Świętego,2037-05-24
Boże Ciało,2037-06-04
Wniebowzięcie NMP,2037-08-15
Dzień Wszystkich Świętych,2037-11-01
Narodowe Święto Niepodległości,2037-11-11
Wigilia Bożego Narodzenia,2037-12-24
Boże Narodzenie – pierwszy dzień świąt,2037-12-25
Boże Narodzenie – drugi dzień świąt,2037-12-26
Nowy Rok,2038-01-01
Trzech Króli,2038-01-06
Wielkanoc – 1 dzień świąt Wielkanocnych,2038-04-25
Lany Poniedziałek – 2 dzień świąt Wielkanocnych,2038-04-26
1 Maja – Święto Pracy,2038-05-01
Święto Konstytucji 3 Maja,2038-05-03
Zesłanie Ducha Świętego,2038-06-13
Boże Ciało,2038-06-24
Wniebowzięcie NMP,2038-08-15
Dzień Wszystkich Świętych,2038-11-01
Narodowe Święto Niepodległości,2038-11-11
Wigilia Bożego Narodzenia,2038-12-24
Boże Narodzenie – pierwszy dzień świąt,2038-12-25
Boże Narodzenie – drugi dzień świąt,2038-12-26
Nowy Rok,2039-01-01
Trzech Króli,2039-01-06
Wielkanoc – 1 dzień świąt Wielkanocnych,2039-04-10
Lany Poniedziałek – 2 dzień świąt Wielkanocnych,2039-04-11
1 Maja – Święto Pracy,2039-05-01
Święto Konstytucji 3 Maja,2039-05-03
Zesłanie Ducha Świętego,2039-05-29
Boże Ciało,2039-06-09
Wniebowzięcie NMP,2039-08-15
Dzień Wszystkich Świętych,2039-11-01
Narodowe Święto Niepodległości,2039-11-11
Wigilia Bożego Narodzenia,2039-12-24
Boże Narodzenie – pierwszy dzień świąt,2039-12-25
Boże Narodzenie – drugi dzień świąt,2039-12-26
Nowy Rok,2040-01-01
